"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"96","1990","7","Maharashtra","Thane","8424.0","67.7","23.88","23.26","1833.0","14.7","5.2","5.06","2194.0","17.6","6.22","6.06","12451.0","35.3","34.38"
"96","1991","7","Maharashtra","Thane","9776.0","66.4","36.52","34.53","2222.0","15.1","8.3","7.85","2728.0","18.5","10.19","9.64","14726.0","55.01","52.02"
"96","1992","7","Maharashtra","Thane","9758.0","75.9","33.66","31.96","1764.0","13.7","6.08","5.78","1329.0","10.3","4.58","4.35","12851.0","44.33","42.09"
"96","1993","7","Maharashtra","Thane","10039.0","85.3","34.64","32.85","975.0","8.3","3.36","3.19","755.0","6.4","2.61","2.47","11769.0","40.61","38.51"
"96","1994","7","Maharashtra","Thane","9569.0","78.4","33.02","31.31","1737.0","14.2","5.99","5.68","905.0","7.4","3.12","2.96","12211.0","42.14","39.96"
"96","1995","7","Maharashtra","Thane","10298.0","77.4","35.55","33.71","1625.0","12.2","5.61","5.32","1389.0","10.4","4.79","4.55","13312.0","45.95","43.57"
"96","1996","7","Maharashtra","Thane","12631.0","77.4","43.6","41.35","2494.0","15.3","8.61","8.16","1195.0","7.3","4.12","3.91","16320.0","56.33","53.42"
"96","1997","7","Maharashtra","Thane","12628.0","74.6","34.51","31.98","2279.0","13.5","6.23","5.77","2011.0","11.9","5.5","5.09","16918.0","46.24","42.84"
"96","1998","7","Maharashtra","Thane","13504.0","79.6","36.36","33.2","2017.0","11.9","5.43","4.96","1434.0","8.5","3.86","3.53","16955.0","45.65","41.69"
"96","1999","7","Maharashtra","Thane","15100.0","77.9","42.48","38.45","2430.0","12.5","6.84","6.19","1847.0","9.5","5.2","4.7","19377.0","54.51","49.34"
"96","2000","7","Maharashtra","Thane","13443.0","79.5","54.96","51.58","2075.0","12.3","8.48","7.96","1391.0","8.2","5.69","5.34","16909.0","69.13","64.88"
"96","2001","7","Maharashtra","Thane","13942.0","79.3","57.0","53.5","2153.0","12.3","8.8","8.26","1477.0","8.4","6.04","5.67","17572.0","71.84","67.43"
"96","2002","7","Maharashtra","Thane","13774.0","77.6","56.31","52.88","2190.0","12.3","8.95","8.41","1782.0","10.0","7.29","6.84","17746.0","72.55","68.12"
"96","2003","7","Maharashtra","Thane","14213.0","75.2","58.11","56.72","2684.0","14.2","10.97","10.71","2010.0","10.6","8.22","8.02","18907.0","77.3","75.45"
"96","2004","7","Maharashtra","Thane","14990.0","77.6","61.28","59.82","2270.0","11.7","9.28","9.06","2064.0","10.7","8.44","8.24","19324.0","79.0","77.11"
"96","2005","7","Maharashtra","Thane","16542.0","77.1","79.68","67.63","2555.0","11.9","12.31","10.45","2351.0","11.0","11.32","9.61","21448.0","103.31","87.69"
"96","2006","7","Maharashtra","Thane","18965.0","77.3","77.53","75.83","2951.0","12.0","12.06","11.8","2618.0","10.7","10.7","10.47","24534.0","100.3","98.1"
"96","2007","7","Maharashtra","Thane","20551.0","78.8","84.02","82.17","2658.0","10.2","10.87","10.63","2857.0","11.0","11.68","11.42","26066.0","106.57","104.22"
"96","2008","7","Maharashtra","Thane","18098.0","82.2","73.99","72.36","2059.0","9.3","8.42","8.23","1866.0","8.5","7.63","7.46","22023.0","90.04","88.06"
"96","2009","7","Maharashtra","Thane","17863.0","77.7","73.03","71.42","3346.0","14.6","13.68","13.38","1783.0","7.8","7.29","7.13","22992.0","94.0","91.93"
