"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"96","1990","7","Maharashtra","Thane","1.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.1","0.5","0.2","0.0","0.0","0.0","0.0","3.6","0.0"
"96","1991","7","Maharashtra","Thane","1.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.5","0.2","0.0","0.0","0.0","0.0","6.1","0.0"
"96","1992","7","Maharashtra","Thane","1.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.0","0.0","0.7","0.2","0.0","0.0","0.0","0.0","6.4","0.0"
"96","1993","7","Maharashtra","Thane","2.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.0","0.0","0.7","0.3","0.0","0.0","0.0","0.0","6.2","0.0"
"96","1994","7","Maharashtra","Thane","3.7","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.2","0.0","0.0","0.0","0.0","7.8","0.0"
"96","1995","7","Maharashtra","Thane","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","0.0","0.0","1.4","0.3","0.0","0.0","0.0","0.0","9.3","0.0"
"96","1996","7","Maharashtra","Thane","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4","0.0","0.0","2.4","0.3","0.0","0.0","0.0","0.0","11.4","0.0"
"96","1997","7","Maharashtra","Thane","3.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2","0.0","0.0","2.2","0.1","0.0","0.0","0.0","0.0","11.5","0.0"
"96","1998","7","Maharashtra","Thane","4.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.1","0.2","0.0","3.3","0.1","0.0","0.0","0.0","0.0","11.5","0.0"
"96","1999","7","Maharashtra","Thane","3.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1","0.3","0.0","2.4","0.2","0.0","0.0","0.0","0.0","13.0","0.0"
"96","2000","7","Maharashtra","Thane","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.2","0.3","0.0","2.5","0.2","0.0","0.0","0.0","0.0","12.5","0.0"
"96","2001","7","Maharashtra","Thane","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","0.3","0.0","1.1","0.2","0.0","0.0","0.0","0.0","13.6","0.0"
"96","2002","7","Maharashtra","Thane","2.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","0.3","0.0","1.1","0.2","0.0","0.0","0.0","0.0","14.5","0.0"
"96","2003","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","-1.0","0.0","0.0","0.0","0.0","0.0","-1.0","-1.0"
"96","2004","7","Maharashtra","Thane","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","-1.0","0.2","0.0","0.0","0.0","0.0","-1.0","-1.0"
"96","2005","7","Maharashtra","Thane","2.5","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","-1.0","-1.0","0.2","0.0","0.0","0.0","0.0","-1.0","-1.0"
"96","2006","7","Maharashtra","Thane","2.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","-1.0","0.2","0.0","0.0","0.0","0.0","-1.0","-1.0"
"96","2007","7","Maharashtra","Thane","2.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","-1.0","0.2","0.0","0.0","0.0","0.0","-1.0","-1.0"
"96","2008","7","Maharashtra","Thane","2.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1.0","-1.0","0.2","0.0","0.0","0.0","0.0","-1.0","-1.0"
"96","2009","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2010","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2011","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2012","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2013","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2014","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2015","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2016","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2017","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2018","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2019","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2020","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","1990","7","Maharashtra","Raigarh","8.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.2","0.0","0.0","0.0","0.0","1.4","0.0"
"97","1991","7","Maharashtra","Raigarh","12.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.5","0.6","0.2","0.0","0.0","0.0","0.0","1.6","0.0"
"97","1992","7","Maharashtra","Raigarh","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1","0.2","0.0","0.0","0.0","0.0","1.8","0.0"
"97","1993","7","Maharashtra","Raigarh","7.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.2","0.3","0.1","0.0","0.0","0.0","0.0","1.2","0.0"
