"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"96","1990","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","98.4","474.9","691.4","911.3","341.2","113.2","3.5","0.3","2634.2"
"96","1991","7","Maharashtra","Thane","0.0","0.0","0.0","5.2","1.1","464.7","1043.5","402.5","79.2","2.8","0.7","0.0","1999.7"
"96","1992","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","256.2","475.8","942.0","423.5","23.7","0.0","0.0","2121.2"
"96","1993","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","407.1","956.7","412.6","435.6","181.1","0.0","0.0","2393.1"
"96","1994","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","553.0","1168.3","649.1","377.0","13.8","0.0","0.0","2761.2"
"96","1995","7","Maharashtra","Thane","1.6","0.0","0.0","0.0","3.7","82.3","975.0","306.8","329.6","80.5","2.4","0.0","1781.9"
"96","1996","7","Maharashtra","Thane","0.1","0.0","0.0","2.3","0.0","283.9","1007.8","539.0","203.9","122.3","0.4","0.0","2159.7"
"96","1997","7","Maharashtra","Thane","15.0","0.0","0.0","0.0","0.0","858.3","1101.3","947.4","586.9","0.0","94.5","51.4","3654.8"
"96","1998","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","330.1","697.2","629.9","805.0","212.0","21.3","0.0","2695.5"
"96","1999","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","16.5","470.8","700.2","234.5","320.8","189.4","0.0","0.0","1932.2"
"96","2000","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","118.0","308.5","1211.5","648.8","98.1","61.1","0.0","2.3","2448.3"
"96","2001","7","Maharashtra","Thane","2.3","0.0","0.0","0.0","0.4","664.8","772.8","647.1","200.5","67.2","1.0","0.0","2356.1"
"96","2002","7","Maharashtra","Thane","0.0","1.1","0.2","0.0","0.2","1012.1","260.0","845.6","169.8","4.1","0.1","0.5","2293.7"
"96","2003","7","Maharashtra","Thane","0.6","0.1","0.0","0.2","0.0","716.5","906.0","625.8","312.2","21.3","1.2","0.0","2583.9"
"96","2004","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","8.0","425.7","814.0","1452.6","194.7","34.8","0.0","0.0","2929.8"
"96","2005","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","706.5","1237.0","726.3","876.2","17.1","0.0","0.0","3563.1"
"96","2006","7","Maharashtra","Thane","0.0","0.0","0.3","0.0","32.8","489.7","1153.7","1073.1","284.0","105.7","0.0","0.0","3139.3"
"96","2007","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","512.5","723.7","957.4","401.0","0.0","0.1","0.0","2594.7"
"96","2008","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","528.0","925.1","846.5","443.9","37.7","0.1","0.1","2781.4"
"96","2009","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","131.1","1290.5","176.2","203.2","189.2","0.0","0.0","1990.2"
"96","2012","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","0.0","241.0","725.7","544.4","577.3","104.5","0.0","0.0","2192.9"
"96","2013","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","12.5","911.2","1157.7","483.6","357.6","103.8","0.1","0.0","3026.5"
"96","2014","7","Maharashtra","Thane","0.3","2.8","0.7","0.1","0.5","111.9","1266.8","625.8","426.5","34.1","2.8","0.0","2472.3"
"96","2015","7","Maharashtra","Thane","0.0","0.0","21.9","0.0","0.0","545.4","657.9","258.6","235.8","60.6","47.7","0.0","1827.9"
"96","2016","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","0.0","346.9","1146.0","704.0","445.9","58.5","-1.0","-1.0","2701.3"
"96","2017","7","Maharashtra","Thane","0.0","0.0","0.0","0.0","1.3","681.4","1153.8","950.5","458.1","182.5","0.0","22.7","3450.3"
"97","1990","7","Maharashtra","Raigad","0.0","0.0","0.4","0.0","153.2","956.2","1010.2","1492.8","431.8","252.1","9.3","0.0","4306.0"
"97","1991","7","Maharashtra","Raigad","0.0","0.0","0.2","7.8","3.1","912.0","1736.9","688.0","100.8","11.2","0.1","0.2","3460.3"
"97","1992","7","Maharashtra","Raigad","0.0","0.0","0.4","0.0","1.9","239.4","797.6","1329.0","431.7","90.0","0.0","0.0","2890.0"
"97","1993","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","6.0","627.8","1485.8","713.8","784.2","225.6","38.7","6.2","3888.1"
"97","1994","7","Maharashtra","Raigad","11.7","0.0","0.0","0.0","8.8","848.3","1281.4","570.3","445.5","81.5","11.2","0.0","3258.7"
"97","1995","7","Maharashtra","Raigad","4.6","0.0","0.0","2.9","4.6","197.3","1087.6","521.9","521.7","188.6","2.8","0.0","2532.0"
"97","1996","7","Maharashtra","Raigad","0.1","0.0","0.0","0.0","2.3","345.4","1303.9","685.8","347.8","238.2","0.5","0.0","2924.0"
"97","1997","7","Maharashtra","Raigad","46.3","0.0","0.0","6.0","0.0","817.0","1317.0","908.0","229.0","2.0","13.0","59.0","3397.3"
"97","1998","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","7.4","513.7","1034.0","843.0","571.5","296.2","44.8","3.0","3313.6"
"97","1999","7","Maharashtra","Raigad","0.0","0.2","0.0","0.0","51.2","929.1","1345.3","331.0","398.1","202.7","0.0","0.0","3257.6"
"97","2000","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","181.1","591.3","1255.6","959.2","260.6","104.0","0.0","10.2","3362.0"
"97","2001","7","Maharashtra","Raigad","3.3","0.0","0.0","0.0","26.9","471.2","929.8","613.2","221.6","72.9","0.0","0.0","2338.9"
"97","2002","7","Maharashtra","Raigad","0.0","0.0","0.0","0.1","1.9","646.9","355.2","914.5","251.3","25.2","1.5","0.6","2197.2"
"97","2003","7","Maharashtra","Raigad","0.2","1.4","0.0","0.0","56.8","977.3","970.3","611.9","347.4","34.2","0.1","0.0","2999.6"
"97","2004","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","4.0","521.0","1019.6","1335.3","320.5","26.0","2.0","0.0","3228.4"
"97","2005","7","Maharashtra","Raigad","0.0","0.0","0.2","0.0","0.0","662.3","1541.8","947.0","775.7","48.7","0.0","0.0","3975.7"
"97","2006","7","Maharashtra","Raigad","0.0","0.0","1.1","0.0","73.2","568.3","1427.0","1184.2","365.1","210.6","2.4","0.0","3831.9"
"97","2007","7","Maharashtra","Raigad","0.0","0.0","0.0","5.1","0.1","1086.6","1024.3","1062.8","558.6","8.6","11.0","0.0","3757.1"
"97","2008","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","815.4","912.9","965.5","542.2","86.2","0.4","0.6","3323.2"
"97","2009","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.1","205.4","1185.3","287.5","349.3","228.9","0.0","0.0","2256.5"
"97","2012","7","Maharashtra","Raigad","0.0","0.0","0.0","0.0","0.0","441.8","937.8","898.1","618.7","174.9","0.0","0.0","3071.3"
