"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"96","1990","7","Maharashtra","Thane","31.77","30.91","32.05","35.72","35.96","31.74","29.32","28.72","29.19","31.39","31.68","30.59"
"96","1991","7","Maharashtra","Thane","29.21","30.9","33.67","36.0","36.66","32.49","29.26","29.08","29.8","32.27","32.3","30.29"
"96","1992","7","Maharashtra","Thane","29.96","29.37","33.88","35.32","36.29","33.44","30.78","28.86","29.7","31.44","32.31","31.17"
"96","1993","7","Maharashtra","Thane","30.28","31.67","33.09","35.61","36.61","33.07","29.72","29.78","29.05","31.59","31.85","30.7"
"96","1994","7","Maharashtra","Thane","30.1","30.3","35.12","35.49","36.64","31.65","28.67","28.95","29.28","32.52","32.16","30.78"
"96","1995","7","Maharashtra","Thane","28.63","30.98","33.14","36.48","36.37","34.44","30.19","30.66","29.84","32.58","32.4","32.3"
"96","1996","7","Maharashtra","Thane","29.84","32.17","35.24","36.32","36.69","33.56","30.27","29.09","29.51","31.17","31.78","31.11"
"96","1997","7","Maharashtra","Thane","29.06","30.86","34.92","35.01","36.1","32.1","30.07","29.55","29.78","32.68","32.52","29.1"
"96","1998","7","Maharashtra","Thane","29.64","31.05","34.02","36.81","37.72","33.59","30.35","30.3","29.61","31.86","31.69","30.76"
"96","1999","7","Maharashtra","Thane","29.29","31.99","34.62","36.22","35.79","31.63","29.73","29.5","29.32","32.05","32.4","31.4"
"96","2000","7","Maharashtra","Thane","30.61","30.01","34.13","36.36","35.48","32.45","28.98","29.67","30.39","32.64","33.56","30.21"
"96","2001","7","Maharashtra","Thane","29.68","30.87","33.08","36.53","36.25","32.29","29.19","29.39","30.26","31.71","31.68","31.0"
"96","2002","7","Maharashtra","Thane","28.59","31.65","34.16","37.05","36.71","32.48","30.25","29.16","29.71","32.44","31.91","31.03"
"96","2003","7","Maharashtra","Thane","30.48","31.44","33.7","36.52","36.83","32.83","30.43","29.76","29.53","32.2","32.45","30.67"
"96","2004","7","Maharashtra","Thane","29.42","31.17","35.3","36.52","36.36","32.44","30.15","28.81","30.0","31.22","31.93","30.47"
